Source_Column,Scenario,Target_Column,Derivation_Logic,Notes
Component,Safe cast numeric,Component_num,"COALESCE(SAFE_CAST(Component AS NUMERIC), 0)",Type safety; numeric fallback 0
Component,Trim & collapse blanks,Component_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Component AS STRING)), r'\s+', ' '), '')",Text normalization
Component,Upper normalize,Component_upper,UPPER(CAST(Component AS STRING)),Case normalization
Component,Numeric bucket,Component_bucket,CASE WHEN SAFE_CAST(Component AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Component AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Component AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Component AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Component,Month start,Component_month_start,"DATE_TRUNC(SAFE_CAST(Component AS DATE), MONTH)",Date truncation
Component,Quarter label,Component_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Component AS DATE))",Presentation label
Component,Safe ratio,Component_ratio_to_Component Description,"SAFE_DIVIDE(SAFE_CAST(Component AS NUMERIC), NULLIF(SAFE_CAST(Component Description AS NUMERIC), 0))",Ratio with zero protection
Component,Row fingerprint (col),Component_fp,TO_HEX(FARM_FINGERPRINT(CAST(Component AS STRING))),Deterministic hash
Component,Window lag delta,Component_delta,SAFE_CAST(Component AS NUMERIC) - LAG(SAFE_CAST(Component AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Component),Window: change vs previous
Component,Rolling 30D sum,Component_roll30,SUM(SAFE_CAST(Component AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Component,JSON scalar extract,Component_json_val,"JSON_VALUE(CAST(Component AS STRING), '$.value')",Read scalar from JSON
Component,Digits only,Component_digits,"REGEXP_REPLACE(CAST(Component AS STRING), r'[^0-9]', '')",Strip non-digits
Component,Duplicate flag,Component_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Component ORDER BY Component) > 1, 1, 0)",Duplicate detector
Component,Winsorize (P5/P95),Component_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Component AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Component AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Component AS NUMERIC)))",Winsorize by group
Component,Lookup latest (scalar subquery),Component_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Component AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Component Description,Safe cast numeric,Component Description_num,"COALESCE(SAFE_CAST(Component Description AS NUMERIC), 0)",Type safety; numeric fallback 0
Component Description,Trim & collapse blanks,Component Description_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Component Description AS STRING)), r'\s+', ' '), '')",Text normalization
Component Description,Upper normalize,Component Description_upper,UPPER(CAST(Component Description AS STRING)),Case normalization
Component Description,Numeric bucket,Component Description_bucket,CASE WHEN SAFE_CAST(Component Description AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Component Description AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Component Description AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Component Description AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Component Description,Month start,Component Description_month_start,"DATE_TRUNC(SAFE_CAST(Component Description AS DATE), MONTH)",Date truncation
Component Description,Quarter label,Component Description_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Component Description AS DATE))",Presentation label
Component Description,Safe ratio,Component Description_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Component Description AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Component Description,Row fingerprint (col),Component Description_fp,TO_HEX(FARM_FINGERPRINT(CAST(Component Description AS STRING))),Deterministic hash
Component Description,Window lag delta,Component Description_delta,SAFE_CAST(Component Description AS NUMERIC) - LAG(SAFE_CAST(Component Description AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Component Description),Window: change vs previous
Component Description,Rolling 30D sum,Component Description_roll30,SUM(SAFE_CAST(Component Description AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
